Category,Short Form,Regex,Full Form (English),Related,Description,Arabic,Description (Arabic),Chinese,Description (Chinese),French,Description (French),German,Description (German),Italian,Description (Italian),Japanese,Description (Japanese),Korean,Description (Korean),Portugese,Description (Portugese),Russian,Description (Russian),Spanish,Description (Spanish)
storage,,,Box Blacklister,,Storage tech term. Separates boxes based on if the first item of the input box matches an item set.,,,盒子黑名单,储电术语。指根据输入潜影盒的第一个物品是否匹配特定物品集来分离潜影盒的装置。,,,,,,,,,,,,,,,Lista negra de Boxes,
storage,,,Box Comparer,,"Storage tech term. Refers to a contraption that takes two boxes as input, and compares them by signal strength. A Box comparer normally has dedicated outputs for the fuller and less full boxes.",,,盒子容量比较,储电术语。指一种装置，接受两个潜影盒作为输入，通过信号强度比较其填充程度，通常有专用输出用于满载和较少装载的潜影盒。,,,,,,,,,,,,,,,Comparador de Boxes,
storage,,,Box Detection,,Storage tech term. Usually used as a way to tag Loaders and Box Displays that restart themselves when boxes come in and they were previously empty.,,,盒子输入检测/盒子扫描器,储电术语。通常用于标记在潜影盒输入且之前为空时自动重启的打包机或潜影盒展示装置。,,,,,,,,,,,,,,,Detección de Boxes,
storage,,,Box Display,,"Storage tech term. Refers to a contraption that displays a shulker box and has some or all of the following features: a button to dispense a new box, breaking of the box when it empties, automatically dispensing a new box when the old one is broken, storage for new shulker boxes, access to said storage, and some others, like hopper locking and not hiding boxes from the player in inaccessible inventories (called no buffer).",,,盒子展示/箱盒展示/盒展,储电术语。,,,,,,,,,,,,,,,Display de Boxes,
storage,,,Box Grouper,,Storage tech term.,,,盒子分组器,,,,,,,,,,,,,,,,Agrupador de Boxes,
storage,,,Box Loader,,Storage tech term. A contraption that fills a shulkerbox with items and then breaks the shulkerbox.,,,打包机,储电术语。指一种装置，将物品装入潜影盒并随后破坏潜影盒以输出。,,,,,,,,,,,,,,,Loader de Boxes,
storage,,,Box Merger,,"Storage tech term. Refers to a contraption that takes 2 boxes as input, and merges them into one. Mergers can work of mixed boxes, however most mergers assume that both boxes only contain one itemtype and are often used in conjunction with Splitters.",,,潜影盒合并器,储电术语。指一种装置，接受两个潜影盒作为输入，并将它们合并成一个。合并器可处理混合潜影盒，但大多数合并器假设两个潜影盒仅含单一物品类型，常与分盒器配合使用。,,,,,,,,,,,,,,,Unificador,
storage,,,Box Processor,,Storage tech term.,,,潜影盒处理,,,,,,,,,,,,,,,,Procesador de Boxes,
storage,,,Box Separator,,Storage tech term. Refers to a contraption that takes boxes as input and separates them into different outputs based on their contents. This could for example be a contraption that takes single item-type boxes and has different outputs for boxes with 16-stackables and 64-stackables based on their content.,,,盒子分离器,储电术语。指一种装置，接受潜影盒作为输入，并根据其内容将其分离到不同输出。例如，可将单一物品类型的潜影盒根据内容物分为16可堆叠和64可堆叠的潜影盒的输出。,,,,,,,,,,,,,,,Separador de Boxes,
storage,,,Box Sorter,,"Storage tech term. Refers to a contraption that takes in boxes of a single item-type, takes the first item out and assigns the box to a storage Slice that matches the filter of that item.",,,盒子分类,储电术语。指一种装置，接受单一物品类型的潜影盒，取出第一个物品，并将潜影盒分配到与该物品过滤器匹配的存储单片。,,,,,,,,,,,,,,,Clasificador de Boxes,
storage,,,Box Splitter,,Storage tech term. Refers to a contraption that takes a Mixed Box as input and unloads the box into one box per item type.,,,分盒器,储电术语。指一种装置，接受混合潜影盒作为输入，并将其内容卸载为每种物品类型一个潜影盒。,,,,,,,,,,,,,,,Divisor de Boxes,
storage,,,Box Unloader,,Storage tech term. A contraption that removes item contents from a shulkerbox.,,,盒子拆包机/卸货机,储电术语。指一种装置，从潜影盒中移出物品内容。,,,,,,,,,,,,,,,Descargador de Boxes,
storage,,,Box Yeet,,Storage tech term. Refers to destroying a shulker box to unload the items inside.,,,烧包,储电术语。指通过烧毁潜影盒来卸载其内部物品的行为。,,,,,,,,,,,,,,,Yeeter de Boxes,
storage,,,Bufferless,,Storage tech term.,,,无缓存,,,,,,,,,,,,,,,,Sin Buffer,
storage,,,Bulk (Storage),,"Storage tech term. At it's simplest, a bulk storage is just a system that stores a lot of items, usually a single type per module and in box form.",,,大宗,储电术语。指一种存储大量物品的系统，通常每个模块存储单一类型的物品，并以潜影盒形式存储。,,,,,,,,,,,,,,,Almacenamiento en Masa,
storage,,,Cart Based Box Unloader,,,,,矿车盒子拆包机/矿车盒子卸货机,使用漏斗矿车从潜影盒中卸载物品的装置。,,,,,,,,,,,,,,,(Box) Unloader basado en Minecarts,
storage,,,Cart Yeet,,Refers to destroying a minecart to unload the items inside.,,,烧车,通过烧毁矿车来卸载其内部物品的行为。,,,,,,,,,,,,,,,Cart Yeet,
storage,,,Chest Hall,,Specifically for slices,,,全物品单片,全物品中位于同一截面片的，多个独立分类/存储系统组成的单片。,,,,,,,,,,,,,,,Chest Hall (Pasillo de Cofres),
storage,,,Crafter (Box) Loader,,Storage tech term. Refers to Box loaders with crafters in it.,,,合成打包机,带有合成器的打包机,,,,,,,,,,,,,,,Box Loader de Crafter,
storage,,,Crafting Station,,,,,合成站,用于方便大量合成物品的设施。,,,,,,,,,,,,,,,Estación de Crafteo,
storage,,,Decoder,,"A storage tech term. Refers to a contraption that translates code or data to item, like an encoded storage hall, the inverse of an Encoder, or one that translates code into user-readable information, like a display.",,,解码器,储电术语。指一种装置，将代码或数据转换为物品，例如编码存储大厅，与编码器（Encoder）相反，或将代码转换为用户可读的信息，例如展示装置。,,,,,,,,,,,,,,,Decodificador,
storage,,,Deserializer,,"In storage tech, it refers to components used to convert Serial codes into Parallel codes or viceversa. These sometimes also act as Encoders or Decoders, in the computational redstone sense. For example serial hex to parallel binary is a deserializer encoder.",,,串行信号接收器,储电术语。指用于将串行码转换为并行码或反之的组件。在计算红石意义上，这些组件有时也充当编码器或解码器。例如，从串行十六进制到并行二进制的转换属于解串器编码器。,,,,,,,,,,,,,,,Deserializador,
storage,,,Dropper Speed,,"Storage tech term. Similar to Hopper speed, but less frequently used. Refers to the speed at which items are processed in a dropper when clocked at the minimum interval (1 item every 4gt). Usually written as an integer or fraction (e.g. ""3x or 1/2x dropper speed""). 1x Dropper speed is equal to 2x Hopper speed.",,,投掷器速,储电术语。与漏斗速度类似，但使用较少。指投掷器在最小间隔（每4游戏刻处理1个物品）时处理物品的速度。通常以整数或分数表示（例如“3倍或1/2倍投掷器速度”）。1倍投掷器速度等于2倍漏斗速度。,,,,,,,,,,,,,,,Velocidad de Dropper,
storage,,,Encoded,,"Storage tech term. A system is said to be encoded when a signal in the form of a code is used to decide the fate of items or boxes. In broader terms, it refers to systems that use codes to transfer instructions. Codes can be a Binary signal, a Hexadecimal signal or, less often, octal or quaternary, with either multiple or single digits.",,,编码的,,,,,,,,,,,,,,,,Codificado,
storage,,,Encoder,,"Storage tech term. Refers to a contraption that translates items into a code, where code can be any sort of signal in any base (bin, hex, other less used ones) or other codes (block event delay), or a contraption that translates a player input (say a selection panel) into code.",,,编码器,,,,,,,,,,,,,,,,Codificador,
storage,,,Fill (Level) (Box) Sorter,,"Storage tech term. Refers to a Box Separator that has different outputs based on how full the box is, usually Empty / Full / Partial. IsEmpty is a Fill Sorter that only has outputs for empty and not-empty ( Full / Partial ) IsFull is a Fill Sorter that only has outputs for full and not-full ( Empty / Partial )",,,填充度分类器,,,,,,,,,,,,,,,,Clasificador de nivel de llenado,
storage,,,Filtered Loader,,Storage tech term. A Loader combined with an item filter that fills a box with just one item type.,,,分类打包机,,,,,,,,,,,,,,,,(Box) Loader con Filtro,
storage,,,First box placement,,"Storage tech term, refers to a feature of a contraption (usually box unloader or box display) that automatically places the first box.",,,自喷盒,,,,,,,,,,,,,,,,Primera Colocación de (Shulker) Box,
storage,,,Fixed Sorter,,Storage tech term. Short for fixed type item sorter: a sorter that filters out one single item type and can't be changed without manual intervention.,,,固定分类,,,,,,,,,,,,,,,,Clasificador Fijo,
storage,,,Full Item Stack,,A stack of items up to 64 or 16 items depending on item type,,,物品组,一个物品栏槽位内/掉落物实体中，到达堆叠上限的一些物品，如64，16，1。具体上限因物品而异。,,,,,,,,,,,,,,,Stack de Items completo,
storage,,,Full Speed (Box) Loader,,Storage tech term. Box Loader tht loads boxes without pausing during box replacement.,,,满速打包机,,,,,,,,,,,,,,,,Box Loader de máxima velocidad,
storage,FHL,,Fully Hopper-Locked,,,,,漏斗全锁,这个装置内的漏斗在闲置时均被红石充能，上锁。,,,,,,,,,,,,,,,Con Todos los Hoppers Bloqueados,
storage,,,Furnace Array,,,,,熔炉组,用于高效，自动化，并列烧制物品的，由熔炉组成的阵列。,,,,,,,,,,,,,,,Array de Hornos,
storage,,,Global,,"Storage tech term. Annotates that a signal comes from a global system ( a ""brain"" ), not from within a Slice. For example, one global clock could send signals to 8 slices on an interval.",,,全局的,,,,,,,,,,,,,,,,Global,
storage,,,Global Output,,"Storage tech term. Refers to a contraption, usually a 1-wide tileable one, that has only one output for all the Slices, in contrast to one output per slice.",,,全局输出,,,,,,,,,,,,,,,,Salida global,
storage,HS,,Hopper Speed,,"Storage tech term. Refers to the speed at which items are processed in a hopper (1 item every 8gt). Often used as a way of quantifying speed of a system in terms of how many hoppers worth of items are processed in or out. Usually written as an integer or fraction (e.g. ""3x or 1/2x hopper speed"").",,,漏斗速,储电述语，描述漏斗操作物品的速度（8游戏刻/物品）,,,,,,,,,,,,,,,Velocidad de Hopper (9k items/h),
storage,,,Hopper-Locked,,Storage tech term. Used to tag contraptions that lock their hoppers when the hoppers are not needed. This is because hoppers are otherwise very laggy.,,,锁漏斗,储电述语，描述将未使用的漏斗进行上锁以减少卡顿的行为。,,,,,,,,,,,,,,,Hoppers Bloqueados,
storage,,,Hybrid (Box) Loader,,"Refers to Box loader that puts loose items into a chest until the chest fills up, then starts filling shulker boxes with the items.",,,缓存打包机,,,,,,,,,,,,,,,,Loader híbrido (de Shulkers),
storage,,,Item Call,,"Storage tech term. Refers to a device, mechanism or feature that allows the user to request items. The requested items may land in a user accessible inventory or be used to restock some component. Some systems can also use item call to automatically restock, for example from Bulk Storage.",,,物品呼叫,,,,,,,,,,,,,,,,Llamada de Items,
storage,,,Item Checker,,Storage tech term. Device filters shulker boxes with stackable items of the same type. Useful for set-based processing where an extra item is needed to configure an item set.,,,物品比对,,,,,,,,,,,,,,,,Comprobador de Items,
storage,,,Item Input,,Storage tech term.,,,物品输入,,,,,,,,,,,,,,,,Input de Items,
storage,,,Item Overflow,,Storage tech term.,,,物品溢出,,,,,,,,,,,,,,,,Overflow de Items,
storage,,,Item Wanker (aka Keygen),,"Storage tech term. Usually part of a Box Sorter, a keygen is a contraption that takes one item out of a box, breaks it and sends the item and sends one through one hopper or Dropperline and the other through another one, with some delay.",,,潜影盒取样器,,,,,,,,,,,,,,,,Item Wanker,
storage,,,Keygen (aka Item Wanker),,"Storage tech term. Usually part of a Box Sorter, a keygen is a contraption that takes one item out of a box, breaks it and sends the item and sends one through one hopper or Dropperline and the other through another one, with some delay.",,,潜影盒取样器,,,,,,,,,,,,,,,,Keygen,
storage,,,Loader,,Storage tech term.,,,打包机,储电述语，指自动将物品塞入潜影盒内并输出该盒的装置。*,,,,,,,,,,,,,,,Cargador,
storage,,,Local,,"Storage tech term. Annotates that a signal  comes from within a Slice, not from a global system. For example, all 8 slices have their own clock.",,,"局部的, 非全局的",,,,,,,,,,,,,,,,Local,
storage,,,Local Output (aka Slice Preservation),,Storage tech term.,,,单片输出,,,,,,,,,,,,,,,,Salida local (Preservación de slice),
storage,,,Mixed Box,,Storage tech term. Refers to a shulker box with multiple item types.,,,混杂盒,储电述语，形容装有不同物品的潜影盒。,,,,,,,,,,,,,,,Box Mezclada,
storage,,,Mixed Box Loader,,Storage tech term. Refers to a Box Loader that can handle multiple itemtypes going to the same box. Fullness detection is usually done by reading that items are backing up in the container ( hopper / dropper ) feeding the box.,,,混杂打包机,,,,,,,,,,,,,,,,Loader de Boxes Mezcladas,
storage,MBS,,Multi Box Sorter,,Storage tech term.,,,多种类潜影盒分类,,,,,,,,,,,,,,,,Clasificador Múltiple de Boxes,
storage,MIS,,Multi Item Sorter,,"Storage tech term. Refers to a type of item sorter (system) that sorts multiple item-types into a single chest or group of chests, usually used to reduce space used by single item-type sorters to group not too common items into categories.",,,多物品分类,,,,,,,,,,,,,,,,Clasificador Múltiple de Items,
storage,,\d+(?:\.\d+)?\s*[xX]\s*(?:hopper|dropper\s+)?speed\b,n X,,Usually refers to hopper or dropper speed in storage tech community,,,n倍速,在储电社群中用于计算漏斗/投掷器处理物品的速度。,,,,,,,,,,,,,,,n X,
storage,,,Pair Assembler,,"Storage tech term. Refers to a contraption that takes in multiple boxes (usually single item-type boxes) and outputs pairs of boxes so that the boxes of each pair have the same item type. They differ in speed, how they handle single boxes (ones that don't have a matching pair) and implementation in general.",,,潜影盒配对器,,,,,,,,,,,,,,,,Ensamblador de Pares,
storage,,,Pair Finder,,"Storage tech term. Refers to a contraption that takes in multiple boxes (usually single item-type boxes) and outputs pairs of boxes so that the boxes of each pair have the same item type. They differ in speed, how they handle single boxes (ones that don't have a matching pair) and implementation in general.",,,潜影盒配对器,,,,,,,,,,,,,,,,Buscador de Pares,
storage,,,Pair Optimizer,,Storage tech term.,,,潜影盒最优配对器,,,,,,,,,,,,,,,,Optimizador de Pares,
storage,,,Pair Searcher,,"Storage tech term. Refers to a contraption that takes in multiple boxes (usually single item-type boxes) and outputs pairs of boxes so that the boxes of each pair have the same item type. They differ in speed, how they handle single boxes (ones that don't have a matching pair) and implementation in general.",,,潜影盒配对器,,,,,,,,,,,,,,,,Buscador de Pares,
storage,,,Panel,,,,,面板,,,,,,,,,,,,,,,,Panel,
storage,PEIS,,PEIS,,,,,并行卸货阵列/整流器,,,,,,,,,,,,,,,,PEIS,
storage,,,Peripheral,,"When used in storage tech, it is used to describe contraptions that are almost Storage Tech. Examples are Furnace Arrays, Brewers, Crafting stations, Autocrafters, ...",,,其他的,,,,,,,,,,,,,,,,Periférico,
storage,,,Precision Hopper,,"Storage tech term. Refers to a hopper that is unlocked in the same tick as it's supposed to suck up an item. If the item entity is created in that tick, as it would be with for example timing a shulker box breaking correctly, there will be 0 physics enacted on that item. This makes it not only extremely reliable as there are no physics issues, but also might be lazy chunk compatible [Needs proof] .",,,精密漏斗,,,,,,,,,,,,,,,,Hopper de Precisión,
storage,,,Precision Loader,,Storage tech term. Refers to a Box Loader that makes use of a Precision Hopper to achieve Slice Preservation.,,,精密打包机,,,,,,,,,,,,,,,,Loader de Precisión,
storage,,,Prefill,,Refers to filling containers with items beforehand.,,,预填充,,,,,,,,,,,,,,,,Precarga,
storage,,,Preplace,,Refers to blocks being placed beforehand.,,,预放置,,,,,,,,,,,,,,,,Precolocado,
storage,,,Pure Box,,Storage tech term.,,,纯净盒,储电述语，形容该潜影盒中仅有一种类的物品。,,,,,,,,,,,,,,,Box Pura,
storage,,,Quad Bulk,,Storage tech term.,,,四边形大宗,,,,,,,,,,,,,,,,Bulk Cuádruple,
storage,,,Remote Bulk,,,,,远程访问大宗,,,,,,,,,,,,,,,,Bulk Remoto,
storage,,,Sequential,,Storage tech term.,,,顺序的,,,,,,,,,,,,,,,,Secuencial,
storage,,,Serializer,,"In storage tech, it refers to components used to convert Serial codes into Parallel codes or viceversa. These sometimes also act as Encoders or Decoders, in the computational redstone sense. For example serial hex to parallel binary is a deserializer encoder.",,,串行信号发生器,,,,,,,,,,,,,,,,Serializador,
storage,,,Set,,,,,整流,,,,,,,,,,,,,,,,Set,
storage,,,Set Based,,Storage tech term.,,,基于黑名单的,,,,,,,,,,,,,,,,Basado en Set,
storage,SS Sorter,,Signal Strength Sorter,,Storage tech term.,,,潜影盒填充度分类,,,,,,,,,,,,,,,,Clasificador de Signal Strength,
storage,,,Silent,,"Storage tech term. Used to tag a contraption that does not make noise when activated. Sources of noise are: pistons, uncovered note blocks, trapdoors, doors and fence gates, and droppers or dispensers failing to fire. Silent contraptions usually avoid all of those.",,,静音,,,,,,,,,,,,,,,,Silencioso,
storage,,,Slice Preservation (aka Local Output),,"Storage tech term. A contraption is said to be slice preserving if it outputs the shulker boxes or items within the slice, in contrast to Global Output, where there's one output for all Slices. This term is mostly used for 1-Wide Tileable contraptions. Since some systems are only mostly slice preserving, but fail to be so in some specific condition or with a very low change, some people use the term perfect slice preservation for a system that does not have said flaws.",,,单片输出,,,,,,,,,,,,,,,,Presevarción de Slice,
storage,,,Smart Box Display,,Storage tech term. A Box Display that will only break the shulker box when it's both empty and closed.,,,可反悔潜影盒展示,,,,,,,,,,,,,,,,(Shulker) Box Display Inteligente,
storage,,,Smart Box Sorter,,Storage tech term.,,,单片解锁潜影盒分类,,,,,,,,,,,,,,,,(Shulker) Box Sorter Inteligente,
storage,,,Stack Separation/Separator,,Storage tech term. Uses item entity separators to sort up to one full stack at a time.,,,堆分离,,,,,,,,,,,,,,,,Separador de Stacks,
storage,,,Stack Sorter,,Storage tech term. Refers to contraption that uses stack separation to filter entire stack of items at once.,,,堆分类,,,,,,,,,,,,,,,,Clasificador de Stacks,
storage,SIS,,Storage Input System,,Storage tech term.,,,输入系统,,,,,,,,,,,,,,,,Input del Sistema de Almacenamiento,
storage,Svar,,Svar,,,,,自适应潜影盒分类,,,,,,,,,,,,,,,,Clasificador Variable de (Shulker) Boxes,
storage,,,Temp Storage,,"Storage tech term. Short for ""temporary storage"". Refers to a contraption that stores a partial box until another partial box with the same item type is input, after which both are output for merging",,,临时存储(缓存),,,,,,,,,,,,,,,,Almacén Temporal,
storage,,,Unloader,,"Storage tech term. Usually refers to a contraption that unloads items from a container, such as shulker box or minecarts",,,拆包机/卸货机,,,,,,,,,,,,,,,,Unloader,
storage,,,Unstackable Filter (aka Unstackable Separator),,Storage tech term. Refers to a contraption that separates unstackable items from stackable items,,,不可堆叠分离,,,,,,,,,,,,,,,,Filtro de Unstackables,
storage,,,Unstackable Separator (aka Unstackable Filter),,Storage tech term. Refers to a contraption that separates unstackable items from stackable items,,,不可堆叠分离,,,,,,,,,,,,,,,,Filtro de Unstackables,
storage,,,Unstackable Sorter,,Storage tech term. Refers to a contraption that sorts a certain unstackable(s) from other unstackables based on a unique property of that item,,,不可堆叠分类,,,,,,,,,,,,,,,,Clasificador de Unstackables,
storage,var,,Variable,,Storage tech term.,,,自适应的,,,,,,,,,,,,,,,,Variable,
storage,,,Variable Loader,,Storage tech term.,,,自适应打包机,,,,,,,,,,,,,,,,Loader Variable,
storage,,,Variable Sorter,,"Storage tech term. Refers to an item filter that does not always filter for the same item, but instead can be remapped, meaning getting the item type reassigned (in contrast with Fixed Sorter).",,,自适应分类,,,,,,,,,,,,,,,,Clasificador Variable,
storage,,,Variable Stack Separation,,Storage tech term.,,,自适应堆分,,,,,,,,,,,,,,,,Separador Variable de Stacks,
storage,,,Wanker(aka Item Wanker),,Storage tech term.,,,潜影盒取样器,,,,,,,,,,,,,,,,Wanker,
storage,,,Whitelister,,Storage tech term.,,,白名单,,,,,,,,,,,,,,,,Whitelister,
storage,,,Whitelister Box Sorter,,Storage tech term. Sorts boxes by checking if it contains a specific item type in any slot,,,白名单分盒器*,,,,,,,,,,,,,,,,Box Sorter con Whitelister,
tree_farm,,,Balloon Oak,,"A fancy oak generated with the smallest size possible. It consists of a tall trunk and leaves that form a spherical shape, similar to a balloon. However, it is also sometimes being referred as the fancy oak itself.",,,气球橡树,气球橡树。指一种最小尺寸的华丽橡树，拥有高大的树干和呈球形的树叶，形似气球而得名。有时也直接指代华丽橡树。,,,,,,,,,,,,,,,Roble (Oak) Grande,
tree_farm,,,Corner Retraction,,Tree farming term. Refers to a type of bottom log processing for big spruce tree farms by removing the corner log first in gt0 to allow sapling planting at that spot.,,,角落侧吸,树场术语。指一种用于大型云杉树场的底部原木处理方式，通过在第0游戏刻（gt0）优先移除角落原木，以便在该位置种植树苗。,,,,,,,,,,,,,,,Retracción de esquina,
tree_farm,XBM,,Cross Bone Meal,,"Tree farming term. Asynchronous application of bone meal to a sapling with multiple dispensers, usually used to differentiate from synced bone meal",,,交叉催熟,树场群体的术语。指多个发射器对树苗不同步地使用骨粉，一般用于和同步催熟做出区分,,,,,,,,,,,,,,,Polvo de Hueso Cruzado,
tree_farm,Doak,,Dark Oak,,,,,深色橡树,,,,,,,,,,,,,,,,Roble Oscuro,
tree_farm,,,Leaf Detection,,Tree farming term. Refers to a method of detecting tree growth by utlising the updates from leaves branching out from the bottom log when tree grows.,,,树电检测/树叶检测,树场述语，指利用树叶状态改变检测树苗是否长大。,,,,,,,,,,,,,,,Detección de Hojas,
tree_farm,,,N Core,,"In huge fungus farming community, it refers to a farm with multiple tileable cores (usually n≫1) that the player travels between planting consecutively at each one",,,N 核,,,,,,,,,,,,,,,,N Core (Núcleos),
tree_farm,PLD,,Push Limit Detection/Detector,,"A method or contraption that outputs when the input is push limited, usually used in tree farming community.",,,推动上限检测/推限检测/魔法检测,,,,,,,,,,,,,,,,Detector de Push Limit,
tree_farm,,,Retract Through Dirt,,Tree farming term. Refers to log being retracted downwards through the planting block (dirt or nylium) with pistons and being moved away,,,下吸,树场述语，描述将树根部的木头向下移走，穿过种植树苗的方块。*,,,,,,,,,,,,,,,Retraer a través de Dirt,
tree_farm,,,Side Retraction,,"Usually refers to pulling a block sideways, often used to describe bottom log processing in tree farm community.",,,侧吸,,,,,,,,,,,,,,,,Retracción lateral,
tree_farm,,,Synced Bone Meal,,"Tree farming term. Synchronous application of bone meal to a sapling with all the dispensers, usually used to differentiate from cross bone meal",,,同步催熟,树场群体的术语。指所有发射器同步地对树苗使用骨粉，一般用于和交叉催熟做出区分,,,,,,,,,,,,,,,Polvo de hueso sincronizado,
